Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
t-shirt-purple,415,455,1m1.995604395s,0.66373,14,15,0.01758,8,1088,60.995604395
Jacket-white,4,5,1m24s,0.4375,0,0,0.0,0,10,84.0
Sweatshirt-beige,4,5,5m47s,0.4375,0,0,0.0,0,10,347.0
Sweatshirt-orange,128,139,1m45.345323741s,0.65467,1,1,0.0,0,336,64.345323741
Jacket-black,18,23,1m51.565217391s,0.82608,0,0,0.0,0,70,65.565217391
t-shirt-white,18,19,3m36.789473684s,0.57894,0,1,0.0,0,83,183.789473684
Sweatshirt-petrol,441,484,50.960743801s,0.66115,9,3,0.0,0,1082,2940.6
Trouser-white,1130,1203,1m6.804655029s,0.63674,28,15,0.00166,2,2695,60.804655029
t-shirt-blue,6,7,5m8.285714285s,0.4375,0,0,0.0,0,17,300.285714285
t-shirt-navy,447,476,2m8.665966386s,0.57563,19,19,0.0126,6,1495,120.665966386
Trouser-beige,8,8,3m28.5s,0.75,0,1,0.0,0,59,182.5
t-shirt-turquoise,241,255,1m39.858823529s,0.57647,9,5,0.0,0,681,63.858823529
Sweatshirt-black,84,91,1m52.153846153s,0.81318,2,0,0.0,0,160,65.153846153
t-shirt-purple,1719,1871,1m49.404159132s,0.58408,47,26,0.00452,10,4541,64.404159132
Sweatshirt-brown,61,66,1m57.378787878s,0.46969,1,0,0.0,0,174,65.378787878
t-shirt-white,53,57,1m2.350877192s,0.71929,2,1,0.01754,1,153,60.350877192
t-shirt-navy,65,88,1m19.647727272s,0.76136,1,2,0.0,0,240,61.647727272
Sweatshirt-green,19,21,29.238095238s,0.7619,0,0,0.0,0,46,1740.238095238
jeans-black,7,7,23.857142857s,0.4375,0,0,0.0,0,13,1380.857142857
Jacket-green,445,501,1m56.842315369s,0.57684,5,4,0.00399,2,1246,65.842315369
Trouser-grey,223,252,2m29.158730158s,0.62698,7,5,0.0119,3,705,122.158730158
jeans-navy,138,150,1m16.613333333s,0.63333,7,5,0.02,3,393,61.613333333
polo-green,740,786,1m25.734096692s,0.70229,10,3,0.00127,1,1623,62.734096692
t-shirt-purple,23,33,2m41.696969696s,0.66666,0,1,0.0,0,89,124.696969696
t-shirt-navy,22,24,1m41s,0.75,0,0,0.0,0,61,101.0
t-shirt-green,51,61,1m3.44262295s,0.68852,1,1,0.0,0,117,60.44262295
polo-purple,247,279,2m11.179211469s,0.60573,8,11,0.01792,5,767,121.179211469
t-shirt-white,52,69,3m21.739130434s,0.69565,1,6,0.04347,3,222,182.739130434
polo-navy,39,54,1m13.851851851s,0.77777,1,1,0.01851,1,93,61.851851851
polo-green,37,44,3m3.386363636s,0.63636,1,1,0.0,0,127,180.386363636
jeans-black,125,141,1m21.581560283s,0.6312,3,4,0.00709,1,377,62.581560283
Sweatshirt-mustard,39,43,1m39.720930232s,0.76744,0,0,0.0,0,87,63.720930232
polo-orange,25,34,1m55.794117647s,0.73529,0,0,0.0,0,71,65.794117647
Jacket-green,298,331,2m5.123867069s,0.58006,6,3,0.0,0,1055,120.123867069
Sweatshirt-black,4,5,13m52s,0.66666,0,0,0.0,0,26,832.0
Jacket-navy,356,407,2m11.427518427s,0.60442,16,7,0.00982,4,1196,121.427518427
Sweatshirt-prune,27,27,2m38.259259259s,0.66666,1,1,0.03703,1,139,123.259259259
t-shirt-yellow,19,22,1m49.909090909s,0.68181,1,0,0.0,0,98,64.909090909
polo-white,803,878,2m32.81093394s,0.64578,16,13,0.01025,9,2202,123.81093394
Jacket-blue,27,30,3m39.033333333s,0.56666,2,0,0.0,0,89,183.033333333
polo-pink,7,7,4m38.142857142s,0.4375,0,0,0.0,0,26,243.142857142
Trouser-trouser,1719,1871,1m35.202086553s,0.61785,50,26,0.0054,14,4541,63.202086553
t-shirt-grey,511,571,1m2.77408056s,0.62697,17,7,0.00175,1,1288,60.77408056
t-shirt-blue,13,13,2m17.23076923s,0.4375,0,0,0.0,0,41,121.23076923
jeans-blue,501,545,1m34.102752293s,0.56146,12,6,0.00183,1,1476,63.102752293
t-shirt-blue,19,20,45.95s,0.6,0,0,0.0,0,33,2700.95
t-shirt-black,274,278,43.992805755s,0.76258,5,0,0.0,0,502,2580.992805755
t-shirt-purple,176,205,2m14.097560975s,0.55609,10,11,0.00975,2,813,121.097560975
Jacket-green,128,136,1m3.088235294s,0.70588,4,1,0.0,0,260,60.294545454
t-shirt-pink,4,5,9s,0.5,0,0,0.0,0,10,60.294545454
Trouser-navy,123,135,1m36.844444444s,0.62962,1,0,0.0,0,317,63.844444444
t-shirt-grey,13,13,4m43.769230769s,0.4375,0,0,0.0,0,47,244.769230769
t-shirt-brown,11,13,2m13.307692307s,0.61538,0,0,0.0,0,38,121.307692307
Jacket-blue,164,184,2m6.010869565s,0.52173,2,5,0.02173,4,612,120.010869565
Trouser-pink,205,224,1m23.0625s,0.64732,5,2,0.0,0,541,62.0625
t-shirt-white,33,44,2m32.659090909s,0.5909,1,0,0.0,0,133,123.659090909
polo-purple,13,13,54.538461538s,0.53846,0,0,0.0,0,35,2940.6
polo-black,512,547,1m2.840950639s,0.64899,15,8,0.00548,3,1232,60.840950639
t-shirt-black,874,934,46.55353319s,0.70021,18,8,0.00214,2,1741,2760.55353319
Sweatshirt-blue,74,82,50.31707317s,0.63414,1,1,0.0,0,157,2940.6
t-shirt-navy,58,63,2m53.968253968s,0.68253,2,1,0.01587,1,159,125.968253968
polo-navy,4,5,1m47s,0.6,0,1,0.04761,1,13,107.0
polo-green,217,248,1m34.338709677s,0.60483,7,8,0.00806,2,666,63.338709677
Jacket-beige,546,599,1m44.140233722s,0.58597,12,7,0.00333,2,1418,64.140233722
Trouser-beige,371,423,2m21.475177304s,0.65248,8,9,0.00472,2,1414,122.475177304
Trouser-petrol,245,265,46.622641509s,0.68679,8,1,0.00377,1,495,2760.622641509
t-shirt-black,397,409,37.012224938s,0.77506,13,2,0.0,0,664,2220.012224938
t-shirt-green,8,12,4m35.083333333s,0.66666,0,0,0.0,0,34,243.083333333
t-shirt-green,12,13,1m5.307692307s,0.61538,0,0,0.0,0,22,60.307692307
Trouser-grey,333,350,2m0.905714285s,0.68571,4,7,0.00857,3,886,120.905714285
t-shirt-black,69,72,1m27.736111111s,0.63888,2,2,0.01388,1,185,62.736111111
t-shirt-olive,23,27,57.629629629s,0.59259,2,0,0.0,0,76,2940.6
t-shirt-white,30,33,1m49.545454545s,0.63636,2,1,0.0,0,91,64.545454545
jeans-navy,671,698,37.455587392s,0.77363,11,1,0.0,0,1080,2220.455587392
polo-purple,1719,1871,54.989860583s,0.57963,50,26,0.00802,19,4541,2940.6
polo-yellow,1719,1871,1m55.760984182s,0.47495,50,26,0.00966,22,4541,65.760984182
Trouser-brown,99,103,1m9.504854368s,0.59223,2,1,0.0,0,210,60.504854368
Trouser-pink,55,60,1m15.833333333s,0.4375,3,0,0.0,0,218,61.833333333
Trouser-blue,581,650,1m40.069230769s,0.59076,13,9,0.00307,2,2116,64.069230769
Trouser-green,44,61,1m34.180327868s,0.60655,3,1,0.0,0,193,63.180327868
polo-purple,434,486,1m41.002057613s,0.68724,13,8,0.00617,3,1075,64.002057613
Trouser-navy,32,41,1m23.975609756s,0.51219,0,0,0.0,0,119,62.975609756
t-shirt-petrol,126,138,1m57.68115942s,0.55797,6,6,0.00724,1,502,65.68115942
jeans-blue,833,909,1m14.245324532s,0.65896,17,14,0.0066,6,2035,61.245324532
Sweatshirt-beige,8,8,1m19.375s,0.84293,0,0,0.0,0,21,61.375
Sweatshirt-black,4,6,0s,0.84293,0,0,0.0,0,10,60.294545454
Jacket-olive,148,154,55.72077922s,0.72727,0,0,0.0,0,280,2940.6
t-shirt-purple,1719,1871,33.08095238s,0.74761,50,6,0.00047,1,3385,1980.08095238
Trouser-trouser,11,12,416.666666ms,0.84293,0,0,0.0,0,13,2940.6
Trouser-navy,45,54,1m23.037037037s,0.66666,0,1,0.01851,1,135,62.037037037
t-shirt-black,1719,1871,3m3.076963214s,0.48552,50,26,0.00547,21,4541,180.076963214
Trouser-khaki,316,348,1m25.612068965s,0.64942,5,3,0.0,0,860,62.612068965
Trouser-olive,57,66,2m6.893939393s,0.5303,1,1,0.0,0,241,120.893939393
Trouser-orange,95,115,3m20.339130434s,0.52173,2,4,0.01739,2,356,182.339130434
Sweatshirt-navy,65,82,1m22.219512195s,0.65853,2,2,0.01219,1,166,62.219512195
jeans-white,109,120,1m44.966666666s,0.66666,4,0,0.0,0,266,64.966666666
Jacket-navy,835,924,1m16.196969696s,0.64826,14,7,0.00216,2,2096,61.196969696
Sweatshirt-teal,23,23,27.695652173s,0.82608,0,0,0.0,0,29,1620.695652173
Jacket-maroon,344,377,1m48.328912466s,0.5809,7,5,0.0053,2,1070,64.328912466
Jacket-coffee,6,7,1.714285714s,0.84293,0,0,0.0,0,10,60.714285714
t-shirt-white,18,18,1m33.888888888s,0.55555,2,0,0.0,0,28,63.888888888
Sweatshirt-grey,29,29,1m28.517241379s,0.44827,2,0,0.0,0,96,62.517241379
polo-yellow,183,201,52.930348258s,0.62189,2,4,0.00995,2,505,2940.6
t-shirt-green,578,620,1m8.325806451s,0.6387,18,8,0.00483,3,1486,60.325806451
Sweatshirt-blue,8,8,43.625s,0.5,0,0,0.0,0,18,2580.625
Jacket-olive,16,19,2m39s,0.52631,2,1,0.04761,1,83,159.0
Trouser-navy,65,71,3m41.056338028s,0.54929,3,2,0.01408,1,277,184.056338028
t-shirt-white,38,42,49.333333333s,0.7619,1,1,0.0,0,82,2940.333333333
t-shirt-white,35,46,1m27.434782608s,0.71739,1,1,0.0,0,78,62.434782608
Trouser-grey,276,311,2m8.681672025s,0.57877,8,5,0.00321,1,1015,120.681672025
Jacket-green,12,37,10m10.675675675s,0.4375,1,0,0.0,0,79,601.675675675
t-shirt-blue,65,69,2m16.289855072s,0.52173,3,1,0.0,0,233,121.289855072
polo-brown,601,631,53s,0.64659,17,6,0.00316,2,1374,60.294545454
polo-red,4,5,4m42s,0.4375,1,1,0.04761,1,10,282.0
t-shirt-white,44,48,53.791666666s,0.75,0,0,0.0,0,85,2940.6
jeans-blue,754,843,1m57.690391459s,0.65243,29,21,0.01186,10,2233,65.690391459
Trouser-green,14,16,3m28.375s,0.5,0,0,0.0,0,60,182.375
t-shirt-petrol,1707,1819,53.451346893s,0.63056,28,16,0.00219,4,4400,2940.6
Trouser-olive,291,317,1m16.769716088s,0.60252,9,6,0.0063,2,889,61.769716088
Sweatshirt-green,14,14,9.285714285s,0.71428,0,0,0.0,0,22,540.285714285
polo-blue,40,51,1m14.862745098s,0.68627,0,0,0.0,0,95,61.862745098
t-shirt-navy,770,792,1m35.056818181s,0.54166,21,14,0.00631,5,2604,63.056818181
t-shirt-black,96,106,1m27.490566037s,0.59433,5,2,0.0,0,400,62.490566037
polo-white,1042,1104,43.042572463s,0.7826,20,1,0.0,0,1900,2580.042572463
t-shirt-maroon,8,8,3m16.375s,0.4375,0,0,0.0,0,19,181.375
Trouser-white,78,83,1m21.361445783s,0.68674,8,3,0.02409,2,229,62.361445783
t-shirt-olive,102,120,1m4.725s,0.71666,2,3,0.00833,1,251,60.725
Trouser-olive,154,169,1m39.899408284s,0.66863,4,4,0.00591,1,449,63.899408284
jeans-navy,18,18,2m12.722222222s,0.66666,1,0,0.0,0,50,121.722222222
Jacket-purple,200,218,1m45.513761467s,0.6422,1,1,0.00458,1,526,64.513761467
Sweatshirt-yellow,89,118,26.161016949s,0.84293,1,1,0.00847,1,165,1560.161016949
t-shirt-yellow,1719,1871,46.956707642s,0.71512,50,13,0.00106,2,3880,2760.956707642
Jacket-navy,117,134,2m32.858208955s,0.53731,2,1,0.00746,1,362,123.858208955
Trouser-black,1083,1197,1m26.205513784s,0.67585,28,21,0.00501,6,2728,62.205513784
t-shirt-navy,289,327,1m6.030581039s,0.66055,8,6,0.0,0,713,60.294545454
Sweatshirt-petrol,40,40,15.85s,0.825,0,1,0.025,1,67,900.85
jeans-black,119,136,2m46.286764705s,0.58823,5,3,0.00735,1,484,124.286764705
t-shirt-peach,108,133,1m15.571428571s,0.80451,2,2,0.01503,2,268,61.571428571
Jacket-jacket,966,1019,1m32.326790971s,0.64474,5,3,0.00196,2,2384,63.326790971
Sweatshirt-green,4,5,33m23s,0.4375,0,0,0.0,0,47,2003.0
Trouser-olive,1719,1871,48.712462908s,0.72136,44,13,0.00207,7,4541,2880.712462908
Jacket-green,100,112,2m4.107142857s,0.64285,2,2,0.00892,1,307,120.107142857
Sweatshirt-white,82,86,1m19.418604651s,0.68604,1,0,0.0,0,147,61.418604651
Sweatshirt-navy,11,11,1m31.454545454s,0.63636,0,0,0.0,0,24,63.454545454
Sweatshirt-blue,14,14,2m58.357142857s,0.71428,0,1,0.04761,1,51,125.357142857
Jacket-brown,147,156,1m53.634615384s,0.62179,2,2,0.00641,1,366,65.634615384
Trouser-khaki,1001,1077,1m34.020427112s,0.59888,26,12,0.00464,5,3219,63.020427112
t-shirt-mustrad,104,122,2m27.409836065s,0.51639,2,3,0.01639,2,445,122.409836065
t-shirt-green,98,104,42.519230769s,0.70192,0,0,0.0,0,225,2520.519230769
Sweatshirt-olive,1541,1584,23.948863636s,0.8005,42,0,0.0,0,2303,1380.948863636
jeans-blue,20,20,4m40.65s,0.6,1,0,0.0,0,60,244.65
t-shirt-black,297,325,45.553846153s,0.79076,2,6,0.00923,3,598,2700.553846153
Trouser-navy,620,811,1m51.992601726s,0.56596,21,16,0.00616,5,2352,65.992601726
Sweatshirt-maroon,1317,1421,1m3.03026038s,0.69669,17,12,0.00211,3,3017,60.294545454
t-shirt-red,122,159,1m24.786163522s,0.69811,7,6,0.00628,1,452,62.786163522
t-shirt-olive,434,450,1m52.173333333s,0.56,16,11,0.01333,6,1372,65.173333333
Jacket-red,283,306,1m31.62745098s,0.62091,4,7,0.0098,3,794,63.62745098
polo-purple,100,110,2m39.654545454s,0.6,2,3,0.00909,1,331,123.654545454
Jacket-black,15,21,1m23.142857142s,0.61904,0,0,0.0,0,48,62.142857142
t-shirt-beige,16,17,4m14.176470588s,0.58823,1,2,0.04761,1,100,241.176470588
polo-pink,109,127,1m32.826771653s,0.48818,1,4,0.00787,1,473,63.826771653
Sweatshirt-yellow,567,591,49.697123519s,0.70896,30,2,0.0,0,1156,2940.6
Trouser-black,14,18,2m14.444444444s,0.66666,1,2,0.0,0,65,121.444444444
t-shirt-yellow,25,27,3m42.777777777s,0.48148,0,4,0.03703,1,112,184.777777777
polo-grey,602,1403,20.379900213s,0.84293,3,0,0.0,0,1585,1200.379900213
Trouser-beige,468,545,1m42.9853211s,0.71376,8,13,0.011,6,1389,64.9853211
t-shirt-beige,152,165,1m24.024242424s,0.67878,4,2,0.00606,1,338,62.024242424
jeans-black,117,173,57.514450867s,0.84293,0,0,0.0,0,279,2940.6
jeans-white,550,634,1m41.566246056s,0.6388,19,17,0.00946,6,1582,64.566246056
polo-olive,877,956,1m36.479079497s,0.60878,24,7,0.00627,6,2506,63.479079497
t-shirt-purple,1057,1097,1m25.355515041s,0.567,38,15,0.00273,3,3198,62.355515041
Trouser-purple,13,27,2m12.444444444s,0.59259,0,0,0.0,0,61,121.444444444
polo-pink,123,134,1m35.664179104s,0.56716,2,1,0.0,0,430,63.664179104
jeans-navy,4,5,8m9s,0.5,0,0,0.0,0,10,489.0
t-shirt-black,475,507,1m15.749506903s,0.66469,24,12,0.00394,2,1217,61.749506903
Trouser-khaki,1693,1871,1m46.797501301s,0.55387,50,26,0.01145,22,4541,64.797501301
polo-yellow,5,9,1m2.222222222s,0.66666,0,0,0.0,0,13,60.294545454
Trouser-white,4,5,1m47.5s,0.75,0,0,0.0,0,22,64.5
polo-blue,32,36,7.611111111s,0.77777,0,0,0.0,0,56,420.611111111
t-shirt-black,70,76,1m32.25s,0.63157,4,1,0.0,0,227,63.25
t-shirt-petrol,24,25,1m50s,0.64,0,0,0.0,0,42,110.0
Sweatshirt-maroon,10,11,12.545454545s,0.63636,0,0,0.0,0,16,720.545454545
Trouser-maroon,224,245,1m46.036734693s,0.68163,6,5,0.00816,2,606,64.036734693
t-shirt-blue,45,52,1m32s,0.67307,0,2,0.0,0,117,92.0
jeans-blue,207,234,1m23.025641025s,0.6282,10,7,0.0,0,645,62.025641025
t-shirt-petrol,105,121,1m38.867768595s,0.55371,7,5,0.01652,2,363,63.867768595
Trouser-khaki,305,418,2m16.653110047s,0.55741,12,9,0.00956,4,1328,121.653110047
polo-maroon,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-blue,44,47,13.468085106s,0.82978,0,2,0.0,0,67,780.468085106
jeans-blue,9,10,1m57s,0.4375,0,1,0.0,0,30,117.0
Trouser-petrol,59,71,4m54.76056338s,0.46478,5,4,0.04225,3,419,245.76056338
Sweatshirt-mustard,236,256,1m53.50390625s,0.64453,6,2,0.0039,1,616,65.50390625
polo-white,124,152,2m8.065789473s,0.53947,9,6,0.01315,2,523,120.065789473
t-shirt-brown,5,7,1m27.714285714s,0.71428,0,0,0.0,0,16,62.714285714
jeans-blue,4,5,2m50.2s,0.4375,0,1,0.0,0,34,125.2
polo-white,774,1143,57.538932633s,0.79352,14,9,0.00349,4,1819,2940.6
jeans-blue,33,41,2m24.170731707s,0.65853,2,1,0.0,0,111,122.170731707
t-shirt-green,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-white,785,862,1m18.397911832s,0.67169,27,20,0.00464,4,1984,61.397911832
jeans-blue,87,118,2m38.101694915s,0.73728,4,1,0.00847,1,274,123.101694915
polo-navy,1719,1871,35.83503732s,0.7799,50,26,0.00137,22,4541,2100.83503732
t-shirt-rust,6,7,1m20.142857142s,0.57142,0,0,0.0,0,15,62.142857142
Sweatshirt-purple,46,56,2m33.607142857s,0.58928,1,0,0.0,0,187,123.607142857
Trouser-grey,41,49,2m21.75510204s,0.44897,4,0,0.0,0,185,122.75510204
t-shirt-olive,5,7,3m42.142857142s,0.84293,1,0,0.0,0,54,184.142857142
Trouser-white,50,64,1m55.390625s,0.59375,3,2,0.01562,1,211,65.390625
polo-purple,681,1492,36.767426273s,0.84293,8,0,0.0,0,1713,2160.767426273
t-shirt-beige,874,887,29.074408117s,0.73506,29,0,0.0,0,1368,1740.074408117
polo-pink,334,375,1m31.101333333s,0.65066,12,4,0.00533,2,928,63.101333333
t-shirt-petrol,172,197,1m25.558375634s,0.65482,11,3,0.00507,1,561,62.558375634
Sweatshirt-black,53,58,1m51.689655172s,0.62068,0,1,0.0,0,155,65.689655172
Jacket-olive,1719,1871,1m27.262276006s,0.69141,50,26,0.00232,10,4541,62.262276006
Jacket-maroon,148,160,1m40.4875s,0.61875,3,1,0.0,0,366,64.4875
Sweatshirt-petrol,211,231,3m36.168831168s,0.56277,6,1,0.00432,1,651,183.168831168
t-shirt-grey,4,5,24.5s,0.5,0,0,0.0,0,10,1440.5
t-shirt-pink,7,12,1m43.833333333s,0.66666,0,0,0.0,0,42,64.833333333
polo-brown,41,42,1m57.5s,0.4375,0,0,0.0,0,142,65.5
t-shirt-blue,134,159,2m7.213836477s,0.45283,9,9,0.01257,2,665,120.213836477
t-shirt-purple,119,228,47.679824561s,0.84293,1,0,0.0,0,297,2820.679824561
jeans-black,183,251,1m10s,0.74501,2,0,0.0,0,439,70.0
polo-black,310,326,52.036809815s,0.67484,4,6,0.00306,1,659,2940.6
Trouser-navy,46,50,1m2.04s,0.7,2,0,0.0,0,97,60.294545454
polo-green,467,525,1m32.401904761s,0.65142,26,15,0.00952,5,1374,63.401904761
polo-turq,7,12,3m9s,0.66666,0,0,0.0,0,24,189.0
t-shirt-white,702,831,2m20.04091456s,0.52587,38,26,0.00722,6,3133,122.04091456
Jacket-green,559,592,1m10.434121621s,0.60135,7,1,0.0,0,1395,61.434121621
t-shirt-peach,143,172,3m2.552325581s,0.44186,7,6,0.0,0,812,180.552325581
Trouser-olive,1719,1871,32.375583482s,0.76517,50,1,0.0,0,4541,1920.375583482
t-shirt-turq,97,165,2m9.266666666s,0.67878,2,4,0.0,0,406,120.266666666
Jacket-purple,45,59,1m57.084745762s,0.69491,1,0,0.0,0,113,65.084745762
Sweatshirt-black,37,46,1m48.260869565s,0.63043,1,2,0.0,0,147,64.260869565
t-shirt-maroon,35,41,41.31707317s,0.82926,0,0,0.0,0,73,2460.31707317
t-shirt-beige,112,148,3m5.702702702s,0.82432,0,3,0.00675,1,263,180.702702702
t-shirt-purple,191,201,26.845771144s,0.74129,4,2,0.0,0,321,1560.845771144
t-shirt-blue,193,208,1m24.346153846s,0.5673,2,4,0.0048,1,704,62.346153846
t-shirt-blue,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-blue,39,48,1m14.520833333s,0.52083,3,1,0.02083,1,172,61.520833333
t-shirt-white,23,34,1m6.411764705s,0.70588,1,1,0.0,0,68,60.411764705
polo-pink,100,142,1m5.204225352s,0.69718,2,5,0.00704,1,334,60.294545454
polo-brown,360,390,1m46.171794871s,0.60256,3,8,0.01538,6,1121,64.171794871
t-shirt-green,911,928,1m25.63900862s,0.5528,35,7,0.00215,2,2734,62.63900862
t-shirt-navy,1719,1871,26.138256268s,0.80906,50,20,0.00092,4,4541,1560.138256268
t-shirt-navy,75,79,1m22.670886075s,0.70886,7,2,0.0,0,254,62.670886075
t-shirt-rust,5,5,7m0.6s,0.4375,0,0,0.0,0,33,420.6
jeans-blue,411,509,1m8.176817288s,0.79764,6,0,0.0,0,894,60.294545454
t-shirt-navy,58,62,6m25.016129032s,0.53225,5,4,0.0,0,279,362.016129032
jeans-blue,11,12,19.583333333s,0.83333,0,0,0.0,0,26,1140.583333333
jeans-black,429,436,32.536697247s,0.73623,18,0,0.0,0,719,1920.536697247
t-shirt-navy,516,526,44.857414448s,0.673,24,0,0.0,0,926,2640.857414448
t-shirt-blue,1048,1150,1m20.950434782s,0.52347,31,26,0.00782,9,3490,62.950434782
t-shirt-black,24,29,1m3.275862068s,0.62068,4,0,0.0,0,83,60.294545454
jeans-grey,194,248,1m46.512096774s,0.63709,9,3,0.00806,2,585,64.512096774
t-shirt-blue,89,112,2m38.035714285s,0.47321,3,9,0.04464,5,507,123.035714285
polo-black,1719,1871,1m1.647569765s,0.5912,50,26,0.00628,26,4541,60.647569765
polo-red,14,16,1m43.0625s,0.625,0,0,0.0,0,38,64.0625
jeans-blue,371,413,48.828087167s,0.71912,3,3,0.00484,2,824,2880.828087167
Jacket-orange,23,23,58.608695652s,0.52173,2,0,0.0,0,78,2940.6
Trouser-black,39,41,2m25.951219512s,0.78048,2,2,0.02439,1,124,122.951219512
polo-black,16,18,1m23s,0.66666,2,2,0.04761,1,35,83.0
t-shirt-pink,844,1067,1m24.72633552s,0.58856,24,26,0.00749,8,2891,62.72633552
polo-purple,1188,1266,2m27.947077409s,0.51342,20,16,0.00473,6,4541,122.947077409
t-shirt-olive,14,17,1m50.235294117s,0.47058,0,1,0.0,0,71,65.235294117
polo-green,538,599,2m12.160267111s,0.49081,16,18,0.01168,7,2326,121.160267111
Jacket-black,22,30,1m24.333333333s,0.56666,1,0,0.0,0,86,62.333333333
t-shirt-blue,43,50,2m33.98s,0.7,0,3,0.04,2,131,123.98
jeans-grey,56,58,1m20.120689655s,0.55172,0,0,0.0,0,180,62.120689655
t-shirt-brown,240,275,1m25.141818181s,0.56363,15,7,0.0,0,869,62.141818181
t-shirt-beige,236,277,1m5.014440433s,0.71119,8,1,0.00361,1,602,60.294545454
t-shirt-green,49,57,1m49.070175438s,0.64912,0,0,0.0,0,157,64.070175438
t-shirt-pink,12,13,46.692307692s,0.53846,0,0,0.0,0,30,2760.692307692
Trouser-blue,406,458,1m42.908296943s,0.57205,16,15,0.00655,3,1412,64.908296943
Sweatshirt-blue,4,5,1m35.666666666s,0.4375,0,0,0.0,0,10,63.666666666
Trouser-turq,18,18,4m52.555555555s,0.55555,1,1,0.04761,1,88,245.555555555
polo-pink,173,208,1m32.278846153s,0.6875,5,4,0.0,0,475,63.278846153
Trouser-grey,39,40,2m16.5s,0.6,2,1,0.0,0,157,121.5
t-shirt-blue,1181,1283,48.385035074s,0.77318,13,1,0.0,0,2147,2880.385035074
t-shirt-green,4,5,9m47.75s,0.4375,0,0,0.0,0,31,544.75
jeans-black,1122,1159,59.310612597s,0.65314,23,11,0.00603,7,2423,2940.6
Sweatshirt-turq,146,181,1m55.430939226s,0.61878,8,2,0.0,0,590,65.430939226
t-shirt-olive,25,30,1m44.566666666s,0.63333,3,1,0.03333,1,64,64.566666666
Jacket-green,1719,1871,1m44.468873695s,0.51349,50,26,0.00179,5,4541,64.468873695
t-shirt-black,221,250,1m35.508s,0.66,3,5,0.008,2,628,63.508
t-shirt-navy,83,92,1m20.913043478s,0.6413,3,5,0.02173,2,209,62.913043478
jeans-blue,143,147,46.761904761s,0.65306,6,0,0.0,0,359,2760.761904761
Jacket-purple,14,22,4m54.045454545s,0.68181,1,0,0.0,0,93,245.045454545
Sweatshirt-navy,4,5,1m1s,0.4375,0,0,0.0,0,10,61.0
polo-maroon,301,358,2m2.108938547s,0.57262,12,13,0.02513,9,1260,120.108938547
t-shirt-navy,23,24,3m14.083333333s,0.45833,2,3,0.04166,1,113,181.083333333
t-shirt-pink,372,652,34.460122699s,0.84293,5,1,0.00153,1,883,2040.460122699
Jacket-brown,36,58,1m45.965517241s,0.75862,1,2,0.0,0,105,64.965517241
Sweatshirt-white,54,65,2m2.692307692s,0.61538,0,2,0.01538,1,139,120.692307692
polo-rust,39,63,1m0.523809523s,0.71428,3,1,0.01587,1,177,60.523809523
Jacket-maroon,93,96,1m24.197916666s,0.66666,2,0,0.0,0,231,62.197916666
Sweatshirt-grey,5,6,1m3s,0.4375,0,0,0.0,0,17,63.0
jeans-blue,61,68,1m36.573529411s,0.70588,1,1,0.0147,1,167,63.573529411
Trouser-green,51,54,1m57.055555555s,0.64814,2,0,0.0,0,151,65.055555555
Sweatshirt-green,1407,1441,28.049271339s,0.80569,26,3,0.0,0,2069,1680.049271339
polo-pink,9,11,12.545454545s,0.81818,0,0,0.0,0,27,720.545454545
t-shirt-green,43,45,21.977777777s,0.71111,1,0,0.0,0,77,1260.977777777
polo-black,10,16,21.4375s,0.6875,1,0,0.0,0,33,1260.4375
t-shirt-teal,4,5,42.2s,0.8,0,1,0.0,0,10,2520.2
polo-peach,45,67,2m10.029850746s,0.61194,1,1,0.0,0,124,121.029850746
t-shirt-purple,159,187,1m45.181818181s,0.60962,7,5,0.00534,1,562,64.181818181
Trouser-olive,802,886,1m37.387133182s,0.60609,33,17,0.00677,6,2285,63.387133182
t-shirt-turquoise,23,29,2m16.551724137s,0.5862,0,0,0.0,0,104,121.551724137
Sweatshirt-rust,24,27,1m35.333333333s,0.81481,0,1,0.03703,1,118,63.333333333
t-shirt-olive,11,12,1m49.916666666s,0.58333,0,0,0.0,0,23,64.916666666
Jacket-blue,86,101,1m46.01980198s,0.53465,2,2,0.0099,1,289,64.01980198
polo-lavender,12,21,2m57.619047619s,0.57142,0,1,0.0,0,127,125.619047619
Sweatshirt-purple,1719,1871,40.073931623s,0.73119,50,8,0.0,0,3854,2400.073931623
t-shirt-blue,39,49,1m39.306122448s,0.57142,3,0,0.0,0,112,63.306122448
t-shirt-white,6,7,53.571428571s,0.57142,0,1,0.0,0,17,2940.6
t-shirt-purple,26,29,1m25.517241379s,0.51724,0,3,0.0,0,80,62.517241379
t-shirt-green,201,212,1m44.457547169s,0.54245,4,6,0.00471,1,697,64.457547169
Sweatshirt-blue,52,70,2m28.785714285s,0.61428,0,1,0.0,0,215,122.785714285
Trouser-pink,5,7,2m49s,0.57142,0,0,0.0,0,20,169.0
polo-black,12,12,39.916666666s,0.66666,0,1,0.0,0,37,2340.916666666
