Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
Jacket-black,21,26,2m1.038461538s,0.57692,0,1,0.0,0,55,120.038461538
Sweatshirt-navy,46,48,6m16.270833333s,0.4375,3,4,0.02083,1,417,361.270833333
polo-petrol,213,229,2m3.506550218s,0.55895,2,2,0.00873,2,758,120.506550218
t-shirt-navy,22,29,2m21.275862068s,0.55172,1,0,0.0,0,66,122.275862068
Trouser-navy,1719,1871,31.459818043s,0.78544,10,2,0.00037,1,4261,1860.459818043
t-shirt-navy,1719,1871,1m56.639387308s,0.59912,50,26,0.00831,19,4541,65.639387308
Trouser-black,9,16,8m18.875s,0.4375,1,2,0.0,0,140,481.875
t-shirt-blue,82,94,1m51.223404255s,0.56382,5,4,0.02127,2,241,65.223404255
Sweatshirt-brown,4,5,1m9.5s,0.5,0,0,0.0,0,10,60.5
jeans-navy,844,1063,2m6.545625587s,0.55691,47,26,0.01034,11,3411,120.545625587
t-shirt-navy,106,119,2m35.521008403s,0.61344,7,7,0.0084,1,380,123.521008403
jeans-grey,480,532,1m35.02255639s,0.67293,15,9,0.00563,3,1457,63.02255639
polo-petrol,54,60,2m7.866666666s,0.5,3,0,0.0,0,201,120.866666666
polo-1,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-orange,8,11,4m44.636363636s,0.4375,0,0,0.0,0,44,244.636363636
Sweatshirt-black,1719,1871,54.85894547s,0.74493,30,12,0.0,0,3897,2940.6
polo-blue,401,436,1m54.96559633s,0.55275,7,5,0.00229,1,1313,65.96559633
t-shirt-blue,4,5,28m25s,0.4375,0,1,0.04761,1,34,1705.0
Jacket-yellow,25,27,1m23.259259259s,0.77777,1,0,0.0,0,61,62.259259259
t-shirt-green,227,246,1m54.430894308s,0.62601,8,5,0.01219,3,674,65.430894308
jeans-blue,96,105,55.485714285s,0.65714,0,1,0.0,0,247,2940.6
Sweatshirt-black,174,184,54.831521739s,0.71195,7,2,0.00543,1,382,2940.6
t-shirt-white,306,333,1m8.498498498s,0.67867,3,3,0.009,3,740,60.498498498
t-shirt-petrol,9,10,3m46s,0.7,1,0,0.0,0,40,226.0
t-shirt-black,1150,1280,2m9.95078125s,0.51406,50,26,0.00781,10,4439,120.95078125
Trouser-navy,12,13,4m13.153846153s,0.61538,0,0,0.0,0,40,241.153846153
t-shirt-teal,16,16,1m53.5s,0.625,2,1,0.04761,1,37,65.5
jeans-navy,29,32,59.3125s,0.625,0,1,0.03125,1,81,2940.6
jeans-navy,18,19,4m21.631578947s,0.63157,1,1,0.0,0,63,242.631578947
Trouser-petrol,9,9,38.666666666s,0.55555,0,0,0.0,0,18,2280.666666666
t-shirt-navy,27,45,52.088888888s,0.84293,0,1,0.02222,1,79,2940.6
t-shirt-black,43,63,4m5.746031746s,0.5873,1,1,0.01587,1,206,240.746031746
polo-green,749,817,1m36.514075887s,0.52386,21,16,0.00734,6,2550,63.514075887
Sweatshirt-green,6,7,0s,0.84293,0,0,0.0,0,10,60.294545454
polo-black,166,207,1m29s,0.72463,3,0,0.0,0,405,89.0
Jacket-green,5,11,20.272727272s,0.81818,0,0,0.0,0,16,1200.272727272
jeans-grey,810,904,1m43.233407079s,0.63716,23,17,0.00774,7,2349,64.233407079
jeans-green,259,291,3m0.800687285s,0.63573,7,7,0.00687,2,847,180.800687285
t-shirt-rust,79,89,47.595505617s,0.67415,3,1,0.01123,1,199,2820.595505617
jeans-blue,131,151,2m16.17218543s,0.68874,7,3,0.00662,1,448,121.17218543
t-shirt-white,20,23,3m26.913043478s,0.60869,1,2,0.04761,2,70,182.913043478
t-shirt-purple,1347,1403,1m27.622238061s,0.56806,50,20,0.00356,5,3886,62.622238061
Sweatshirt-green,23,26,13.461538461s,0.6923,0,0,0.0,0,40,780.461538461
t-shirt-green,50,54,4m3.777777777s,0.44444,3,4,0.01851,1,354,240.777777777
t-shirt-purple,332,363,3m5.201101928s,0.53168,12,9,0.00826,3,1463,180.201101928
t-shirt-turq,225,273,1m33.637362637s,0.63003,12,9,0.00732,2,696,63.637362637
